Magic,Symbol,Signal,EntryPrice,StopLoss,TakeProfit,LotSize,Timestamp
123450,NZDUSD,BUY,0.58792,0.5857,0.59506,0.09,2026-03-16 19:45:15
123451,XAUCAD,BUY,3635.30066,3635.29649,3635.30817,0.06,2026-03-16 19:20:15
123452,XAUCAD,SELL,3603.17182,3603.17615,3603.16615,0.07,2026-03-16 19:45:15
123453,AUDUSD,BUY,0.65657,0.65249,0.66592,0.01,2026-03-16 19:00:15
123454,EURUSD,BUY,1.10129,1.09697,1.11077,0.06,2026-03-16 19:47:15
123455,XAUAUD,SELL,4042.85873,4042.86084,4042.85163,0.09,2026-03-16 19:23:15
123456,USDCHF,SELL,0.87744,0.88113,0.86782,0.07,2026-03-16 19:42:15
123457,XAUEUR,SELL,2419.51792,2419.52014,2419.51071,0.08,2026-03-16 19:33:15
123458,USDJPY,BUY,150.07601,149.79958,150.68093,0.01,2026-03-16 19:16:15
123459,NZDUSD,SELL,0.58808,0.59117,0.5828,0.02,2026-03-16 19:39:15
123460,USDJPY,BUY,150.07973,149.6294,150.484,0.08,2026-03-16 19:36:15
123461,XAUAUD,SELL,4053.86571,4053.86792,4053.85572,0.09,2026-03-16 19:41:15
123462,NZDUSD,SELL,0.59114,0.59495,0.58599,0.05,2026-03-16 19:20:15
123463,USDCHF,BUY,0.88124,0.87678,0.88739,0.02,2026-03-16 19:45:15
123464,GBPUSD,BUY,1.27486,1.27113,1.28437,0.05,2026-03-16 19:31:15
