Magic_Number,Symbol,Signal,Entry_Price,Stop_Loss,Take_Profit,Volume,Confidence,Risk_Reward,Expiry,Comment
123450,AUDUSD,BUY,0.65692,0.65464,0.66323,0.05,0.77,2.77,2025-07-28 23:44:28,GenX_BUY_AUDUSD
123451,USDCAD,BUY,1.36116,1.35649,1.36818,0.09,0.68,1.51,2025-07-28 23:29:28,GenX_BUY_USDCAD
123452,USDCAD,BUY,1.36194,1.35947,1.3684,0.1,0.77,2.61,2025-07-28 23:38:28,GenX_BUY_USDCAD
123453,GBPUSD,SELL,1.27154,1.27653,1.26573,0.08,0.91,1.16,2025-07-28 23:24:28,GenX_SELL_GBPUSD
123454,USDJPY,BUY,150.00672,149.69719,150.70286,0.09,0.79,2.25,2025-07-28 23:34:28,GenX_BUY_USDJPY
123455,GBPUSD,BUY,1.27111,1.26667,1.28048,0.08,0.82,2.11,2025-07-28 23:02:28,GenX_BUY_GBPUSD
123456,NZDUSD,BUY,0.58896,0.5866,0.59733,0.04,0.82,3.56,2025-07-28 23:11:28,GenX_BUY_NZDUSD
123457,EURUSD,SELL,1.10897,1.11237,1.10414,0.09,0.74,1.42,2025-07-28 23:03:28,GenX_SELL_EURUSD
123458,AUDUSD,BUY,0.65579,0.65228,0.66258,0.03,0.79,1.94,2025-07-28 23:02:28,GenX_BUY_AUDUSD
123459,AUDUSD,SELL,0.65563,0.6601,0.65027,0.02,0.89,1.2,2025-07-28 23:21:28,GenX_SELL_AUDUSD
123460,NZDUSD,SELL,0.59095,0.59576,0.58178,0.02,0.91,1.91,2025-07-28 23:41:28,GenX_SELL_NZDUSD
123461,AUDUSD,BUY,0.65813,0.65364,0.66224,0.07,0.65,0.92,2025-07-28 23:40:28,GenX_BUY_AUDUSD
123462,GBPUSD,BUY,1.27136,1.26819,1.27863,0.06,0.82,2.3,2025-07-28 23:24:28,GenX_BUY_GBPUSD
123463,USDCHF,BUY,0.87943,0.87619,0.88415,0.07,0.88,1.45,2025-07-28 23:24:28,GenX_BUY_USDCHF
123464,GBPUSD,SELL,1.26355,1.26715,1.25387,0.07,0.7,2.69,2025-07-28 23:21:28,GenX_SELL_GBPUSD
